         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 traitlets.py:2566(instance_init)
        6    0.000    0.000    0.000    0.000 iostream.py:366(write)
        8    0.000    0.000    0.008    0.001 comm.py:50(__init__)
      8/3    0.000    0.000    0.020    0.007 widget.py:408(__init__)
       16    0.000    0.000    0.000    0.000 traitlets.py:2235(validate)
        8    0.000    0.000    0.000    0.000 widget.py:439(_comm_changed)
       62    0.000    0.000    0.000    0.000 traitlets.py:1673(validate)
        8    0.000    0.000    0.002    0.000 configurable.py:38(__init__)
        8    0.000    0.000    0.000    0.000 configurable.py:106(_find_my_config)
      2/1    0.000    0.000    0.004    0.004 display.py:129(display)
        9    0.000    0.000    0.000    0.000 traitlets.py:1095(hold)
       22    0.000    0.000    0.000    0.000 traitlets.py:2316(validate_elements)
       16    0.000    0.000    0.000    0.000 configurable.py:102(<listcomp>)
       16    0.000    0.000    0.000    0.000 traitlets.py:188(parse_notifier_name)
       16    0.000    0.000    0.000    0.000 loader.py:161(__init__)
       16    0.000    0.000    0.000    0.000 configurable.py:99(section_names)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       24    0.000    0.000    0.000    0.000 loader.py:218(__contains__)
       24    0.000    0.000    0.000    0.000 loader.py:231(_has_section)
        1    0.000    0.000    0.000    0.000 additives.py:24(RMSE)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        8    0.000    0.000    0.001    0.000 manager.py:46(register_comm)
        1    0.000    0.000    0.025    0.025 _tqdm_notebook.py:82(status_printer)
       16    0.000    0.000    0.000    0.000 traitlets.py:923(instance_init)
       16    0.000    0.000    0.000    0.000 traitlets.py:1178(_add_notifiers)
       27    0.000    0.000    0.000    0.000 traitlets.py:2246(validate_elements)
       11    0.000    0.000    0.000    0.000 traitlets.py:2323(validate)
       23    0.000    0.000    0.000    0.000 widget.py:449(model_id)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2854(mean)
       24    0.000    0.000    0.000    0.000 loader.py:150(_is_section_key)
        4    0.000    0.000    0.000    0.000 traitlets.py:2154(validate)
        8    0.000    0.000    0.002    0.000 widget.py:395(_default_keys)
        5    0.000    0.000    0.013    0.003 trait_types.py:141(make_dynamic_default)
        8    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.001    0.000 iostream.py:327(flush)
     11/2    0.000    0.000    0.002    0.001 widget.py:752(<genexpr>)
        8    0.000    0.000    0.001    0.000 domwidget.py:40(_repr_keys)
        8    0.000    0.000    0.000    0.000 comm.py:26(_default_comm_id)
       16    0.000    0.000    0.000    0.000 traitlets.py:1237(observe)
      8/1    0.000    0.000    0.002    0.002 widget.py:749(_gen_repr_from_keys)
        2    0.000    0.000    0.000    0.000 threading.py:215(__init__)
       20    0.000    0.000    0.000    0.000 traitlets.py:1399(has_trait)
        1    0.000    0.000    0.001    0.001 zmqshell.py:94(publish)
        1    0.000    0.000    0.027    0.027 _tqdm_notebook.py:168(__init__)
        8    0.000    0.000    0.000    0.000 uuid.py:280(hex)
        1    0.000    0.000    0.000    0.000 _tqdm.py:401(__new__)
        1    0.000    0.000    0.000    0.000 _utils.py:215(_environ_cols_linux)
        2    0.000    0.000    0.001    0.000 threading.py:263(wait)
        6    0.000    0.000    0.000    0.000 iostream.py:313(_schedule_flush)
        8    0.000    0.000    0.000    0.000 comm.py:19(_default_kernel)
      8/6    0.000    0.000    0.000    0.000 widget.py:29(_widget_to_json)
        1    0.000    0.000    0.027    0.027 __init__.py:22(tqdm_notebook)
       24    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        9    0.000    0.000    0.000    0.000 traitlets.py:1336(set_trait)
        8    0.000    0.000    0.000    0.000 widget.py:397(<listcomp>)
      8/1    0.000    0.000    0.002    0.002 widget.py:602(__repr__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:1075(close)
       27    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
        8    0.000    0.000    0.000    0.000 comm.py:38(_default_topic)
        1    0.000    0.000    0.000    0.000 _tqdm.py:431(_decr_instances)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       24    0.000    0.000    0.000    0.000 traitlets.py:2110(validate)
        2    0.000    0.000    0.001    0.000 threading.py:533(wait)
        8    0.000    0.000    0.000    0.000 comm.py:135(on_msg)
        1    0.000    0.000    0.000    0.000 _tqdm.py:424(_get_free_pos)
        2    0.000    0.000    0.000    0.000 traitlets.py:419(__init__)
        2    0.000    0.000    0.000    0.000 traitlets.py:2528(validate)
        2    0.000    0.000    0.000    0.000 traitlets.py:2535(validate_elements)
